"Original text",Rule,Explanation
"&",and,"Only apply & in heading or TL;DR (with the exception of webpage copy where space is an issue)"
"OX,ox,Ox,oX",0x,"Existing style, maintain consistency"
"24:7",24/7,"Existing style, maintain consistency"
"Advisory,advisory","Information","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"amongst",among,"Existing style, maintain consistency"
"ALAN, alan",Alan,"Existing style, maintain consistency"
"ALANS, alans",Alan,"The plural of Alan is Alan"
"Anonymous","Pseudonymous","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"api;Api",API,"Existing style, maintain consistency"
"back-end;backend","backend","back-end is used as an adjective only."
"Backdoor","Alternative","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"best","a good option","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Berkley packet filter;berkeley packet filter",Berkeley Packet Filter,"Existing style, maintain consistency"
"Betting","Predicting","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Bi-weekly,","biweekly","Existing style, maintain consistency"
"Black market","Unregulated market","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Blow up","Increase rapidly","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Boom","Surge","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Bribe","Incentivize (but use carefully)","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Bubble","Surge","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"bulletproof","resilient","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Bust","Decline","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Cash cow","Profitable venture","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Cash-out","Withdraw","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"cex",CEX,"Acronyms in caps"
"CEXes,CEX's",CEXs,"Existing style, maintain consistency"
"Cheat","Deceive","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Collude","Collaborate (but use carefully. Only use if there is evidence of collaboration or clear intent)","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"Con","Deception","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
"cryptobots;Cryptobots","CryptoBots","Brand name"
"cryptopunks;Cryptopunks",CryptoPunks,"Brand name"
"devnet,devNet","Devnet",If this is Neon's Devnet or any other systems' use proper noun."
"DOA",DAO,"Oops, typo"
"DApp,Dapp,DAPP",dApp,"Exception is sentence start = DApp"
"DApps,Dapps,DAPPs,DAPPS",dApps,"Exception is sentence start = DApps"
dex",DEX,"Acronyms in caps"
"DEXes;DEX's",DEXs,"Existing style, maintain consistency"
discord,Discord,"Brand name"
dockerfile,Dockerfile,"Existing style, maintain consistency"
"Double-dip","Reinvest","Warning -- this is a legally sensitive term. However, context is everything: it may be that the original text is more appropriate."
